ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
BAA154388A869E64,classic_bike,2024-08-02T13:35:14Z,2024-08-02T13:48:24Z,State St & Randolph St,TA1305000029,Wabash Ave & 9th St,TA1309000010,41.88462107257936,-87.62783423066139,41.870769,-87.625734,member
8752245932EFF67A,electric_bike,2024-08-02T15:33:13Z,2024-08-02T15:55:23Z,Franklin St & Monroe St,TA1309000007,Damen Ave & Cortland St,13133,41.880317,-87.635185,41.915983,-87.677335,member
44DDF9F57A9A161F,classic_bike,2024-08-16T15:44:06Z,2024-08-16T15:57:52Z,Franklin St & Monroe St,TA1309000007,Clark St & Elm St,TA1307000039,41.880317,-87.635185,41.902973,-87.63128,member
44AAAF069B0C78C3,electric_bike,2024-08-19T18:47:11Z,2024-08-19T18:56:33Z,Clark St & Elm St,TA1307000039,McClurg Ct & Ohio St,TA1306000029,41.902973,-87.63128,41.892592119709725,-87.61728912591934,member
77138D500A6B7B4B,classic_bike,2024-08-03T20:34:20Z,2024-08-03T20:46:29Z,Western Ave & Leland Ave,TA1307000140,Ashland Ave & Belle Plaine Ave,13249,41.966399801840986,-87.68870428204536,41.956057,-87.668835,casual
F6F581F31A9C9BC2,electric_bike,2024-08-03T20:08:09Z,2024-08-03T20:44:53Z,Clark St & Elm St,TA1307000039,Stetson Ave & South Water St,TA1308000029,41.902973,-87.63128,41.886835,-87.62232,casual
604663B88BC6DB8A,classic_bike,2024-08-28T17:08:13Z,2024-08-28T17:34:06Z,Michigan Ave & Jackson Blvd,TA1309000002,Larrabee St & Webster Ave,13193,41.8777679,-87.624164,41.921822,-87.64414,member
26021CDC5238475E,electric_bike,2024-08-20T16:04:33Z,2024-08-20T16:08:27Z,Franklin St & Monroe St,TA1309000007,Kingsbury St & Kinzie St,KA1503000043,41.880317,-87.635185,41.88917683258,-87.6385057718,member
0512319767100E18,electric_bike,2024-08-06T11:28:36Z,2024-08-06T11:30:37Z,Franklin St & Monroe St,TA1309000007,NA,NA,41.880317,-87.635185,41.88,-87.64,member
157E93813FE5D732,electric_bike,2024-08-06T14:06:01Z,2024-08-06T14:10:33Z,Franklin St & Monroe St,TA1309000007,NA,NA,41.880317,-87.635185,41.89,-87.63,member
39E8AB05D21377E0,electric_bike,2024-08-15T13:56:39Z,2024-08-15T13:59:31Z,Kilbourn Ave & Diversey Ave,24323,NA,NA,41.93179,-87.73934,41.93,-87.75,member
786F424794F67C66,electric_bike,2024-08-07T12:11:56Z,2024-08-07T12:13:38Z,Michigan Ave & Jackson Blvd,TA1309000002,Wabash Ave & Adams St,KA1503000015,41.8777679,-87.624164,41.87947235235,-87.6256886059,member
BF77066C452B16A1,classic_bike,2024-08-29T20:41:13Z,2024-08-29T20:55:32Z,Scottsdale Park,23113,Scottsdale Park,23113,41.741966,-87.736179,41.741966,-87.736179,casual
6A2177F79C2976F8,classic_bike,2024-08-29T20:38:10Z,2024-08-29T20:40:23Z,Scottsdale Park,23113,Scottsdale Park,23113,41.741966,-87.736179,41.741966,-87.736179,casual
B47F034A9ACCAC32,classic_bike,2024-08-29T20:41:36Z,2024-08-29T20:55:34Z,Scottsdale Park,23113,Scottsdale Park,23113,41.741966,-87.736179,41.741966,-87.736179,casual
0A0B0256A2D542D5,electric_bike,2024-08-21T13:30:16Z,2024-08-21T15:01:38Z,Lincoln Ave & Addison St,TA1309000050,Lincoln Ave & Addison St,TA1309000050,41.946176,-87.673308,41.946176,-87.673308,casual
0424599BACED4DB0,electric_bike,2024-08-08T16:57:25Z,2024-08-08T16:57:41Z,Public Rack - Chopin Park,542,Public Rack - Chopin Park,542,41.942675,-87.761899,41.942675,-87.761899,casual
EC630B50C3D0EED2,classic_bike,2024-08-28T22:16:35Z,2024-08-28T22:41:49Z,St. Louis Ave & Fullerton Ave,KA1504000090,Sawyer Ave & Irving Park Rd,KA1504000096,41.92481559681187,-87.71449506282805,41.95358617895,-87.7093107999,casual
A865C52671289685,classic_bike,2024-08-12T19:54:53Z,2024-08-12T20:21:11Z,Dearborn Pkwy & Delaware Pl,TA1307000128,Dearborn Pkwy & Delaware Pl,TA1307000128,41.898969,-87.629912,41.898969,-87.629912,casual
BE268ACD791E4ECA,classic_bike,2024-08-10T12:26:48Z,2024-08-10T13:15:47Z,Ravenswood Ave & Irving Park Rd,TA1307000149,Ravenswood Ave & Irving Park Rd,TA1307000149,41.95469,-87.67393,41.95469,-87.67393,member
